id,avis,label,categorie,difficulte
853,"L'application facilite vraiment mes achats quotidiens.",positif,application,simple
854,"Je ne pensais pas que ce serait aussi bien organisé.",positif,general,négation_positive
855,"Le produit est de qualité supérieure.",positif,produit,simple
856,"Votre service est toujours réactif.",positif,support,simple
857,"Je ne m'attendais pas à un produit aussi bien fini.",positif,produit,négation_positive
858,"La commande a été livrée rapidement.",positif,livraison,simple
859,"Je suis très satisfait de l'ensemble du service.",positif,general,simple
860,"L'appli est bien optimisée pour mobile.",positif,application,simple
861,"Je ne pensais pas que votre service serait aussi rapide.",positif,support,négation_positive
862,"Le produit est de très haute qualité.",positif,produit,simple
863,"Votre service mérite d'être recommandé.",positif,general,simple
864,"Je suis très satisfait de mon expérience globale.",positif,general,simple
865,"L'application est rapide, stable et utile.",positif,application,simple
866,"Je ne pensais pas trouver une telle qualité de service.",positif,general,négation_positive
867,"La livraison était rapide et fiable.",positif,livraison,simple
868,"Je suis content de la qualité du produit livré.",positif,produit,simple
869,"Votre service client est accessible et compétent.",positif,support,simple
870,"Je ne m'attendais pas à une telle efficacité.",positif,general,négation_positive
871,"La commande est arrivée en parfait état.",positif,produit,simple
872,"Je suis très satisfait du service rendu.",positif,support,simple
873,"L'appli est complète et bien conçue.",positif,application,simple
874,"Je ne pensais pas que la livraison serait aussi bien gérée.",positif,livraison,négation_positive
875,"Le produit est bien adapté à mes besoins.",positif,produit,simple
876,"Votre service est dans les meilleurs.",positif,general,simple
877,"Je ne m'attendais pas à tant de soin dans le service.",positif,support,négation_positive
878,"La livraison a été parfaite.",positif,livraison,simple
879,"Je suis très satisfait de la qualité globale.",positif,general,simple
880,"L'application est très réactive.",positif,application,simple
881,"Je ne pensais pas que le produit serait aussi durable.",positif,produit,négation_positive
882,"Le service est de qualité et je le recommande.",positif,general,simple
883,"Votre équipe est professionnelle et efficace.",positif,support,simple
884,"Je ne m'attendais pas à une réactivité aussi grande.",positif,support,négation_positive
885,"La livraison était rapide et bien emballée.",positif,livraison,simple
886,"Je suis très content de mon expérience.",positif,general,simple
887,"L'appli est bien pensée pour les utilisateurs réguliers.",positif,application,simple
888,"Je ne pensais pas que votre service était aussi complet.",positif,general,négation_positive
889,"Le produit est solide et pratique.",positif,produit,simple
890,"Votre service est irréprochable.",positif,general,simple
891,"Je ne m'attendais pas à autant d'efficacité.",positif,general,négation_positive
892,"La livraison est fiable et rapide.",positif,livraison,simple
893,"Je suis très satisfait de la qualité.",positif,produit,simple
894,"L'application est excellente dans son domaine.",positif,application,simple
895,"Je ne pensais pas que votre équipe serait aussi disponible.",positif,support,négation_positive
896,"Le produit est beau et fonctionnel.",positif,produit,simple
897,"Votre service est à la hauteur de sa réputation.",positif,general,simple
898,"Je ne m'attendais pas à un tel niveau de service.",positif,support,négation_positive
899,"La livraison est toujours dans les délais.",positif,livraison,simple
900,"Je suis très satisfait de votre service.",positif,general,simple
901,"L'appli répond parfaitement à mes attentes.",positif,application,simple
902,"Je ne pensais pas trouver un service aussi fiable.",positif,general,négation_positive
903,"Le produit est conforme et bien conçu.",positif,produit,simple
904,"Votre service est vraiment au top.",positif,general,simple
905,"Je ne m'attendais pas à une telle qualité de produit.",positif,produit,négation_positive
906,"La livraison est toujours rapide.",positif,livraison,simple
907,"Je suis très satisfait de l'expérience d'achat.",positif,general,simple
908,"L'application est utile et bien organisée.",positif,application,simple
909,"Je ne pensais pas que le service serait aussi humain.",positif,support,négation_positive
910,"Le produit est de qualité et bien fini.",positif,produit,simple
911,"Votre service est efficace et fiable.",positif,general,simple
912,"Je ne m'attendais pas à un tel professionnalisme.",positif,support,négation_positive
913,"La livraison est soignée et rapide.",positif,livraison,simple
914,"Je suis très satisfait du produit reçu.",positif,produit,simple
915,"L'appli est parfaitement adaptée à mon usage.",positif,application,simple
916,"Je ne pensais pas être aussi bien pris en charge.",positif,support,négation_positive
917,"Le produit est élégant et de qualité.",positif,produit,simple
918,"Votre service dépasse toujours les attentes.",positif,general,simple
919,"Je ne m'attendais pas à autant de satisfaction.",positif,general,négation_positive
920,"La livraison était parfaite du début à la fin.",positif,livraison,simple
921,"Je suis très satisfait de la réactivité du service.",positif,support,simple
922,"L'application est une vraie réussite.",positif,application,simple
923,"Je ne pensais pas que votre service serait aussi bien noté à juste titre.",positif,general,négation_positive
924,"Le produit est exactement ce que je cherchais.",positif,produit,simple
925,"Votre service est dans les meilleurs de sa catégorie.",positif,general,simple
926,"Je ne m'attendais pas à une aussi bonne expérience.",positif,general,négation_positive
927,"La livraison est dans les délais et bien emballée.",positif,livraison,simple
928,"Je suis très satisfait du service client.",positif,support,simple
929,"L'appli est fluide et sans bugs.",positif,application,simple
930,"Je ne pensais pas que votre service serait aussi apprécié.",positif,general,négation_positive
931,"Le produit est bien conçu et agréable à utiliser.",positif,produit,simple
932,"Votre service est fiable et réactif.",positif,general,simple
933,"Je ne m'attendais pas à autant de fluidité.",positif,general,négation_positive
934,"La livraison est ponctuelle.",positif,livraison,simple
935,"Je suis très satisfait du produit et du support.",positif,general,simple
936,"L'application est bien adaptée à toutes les plateformes.",positif,application,simple
937,"Je ne pensais pas que votre service serait aussi accessible.",positif,general,négation_positive
938,"Le produit est robuste et de belle qualité.",positif,produit,simple
939,"Votre service est vraiment un modèle.",positif,general,simple
940,"Je ne m'attendais pas à une telle disponibilité.",positif,support,négation_positive
941,"La livraison était dans les temps et soignée.",positif,livraison,simple
942,"Je suis très satisfait de mon achat en ligne.",positif,general,simple
943,"L'appli est simple à prendre en main.",positif,application,simple
944,"Je ne pensais pas que votre service serait aussi impressionnant.",positif,general,négation_positive
945,"Le produit est fonctionnel et bien pensé.",positif,produit,simple
946,"Votre service est excellent à tous les niveaux.",positif,general,simple
947,"Je ne m'attendais pas à une aussi bonne qualité de service.",positif,support,négation_positive
948,"La livraison est rapide, fiable et soignée.",positif,livraison,simple
949,"Je suis très satisfait de la qualité du produit.",positif,produit,simple
950,"L'application est vraiment bien réalisée.",positif,application,simple
951,"Je ne pensais pas que votre service serait aussi performant.",positif,general,négation_positive
952,"Le produit est solide et bien finalisé.",positif,produit,simple
953,"Votre service est dans les meilleurs que j'ai essayés.",positif,general,simple
954,"Je ne m'attendais pas à un service aussi soigné.",positif,support,négation_positive
955,"La livraison était rapide et le colis en bon état.",positif,livraison,simple
956,"Je suis très satisfait de l'ensemble.",positif,general,simple
957,"L'appli est fiable et bien pensée.",positif,application,simple
958,"Je ne pensais pas que votre service serait aussi satisfaisant.",positif,general,négation_positive
959,"Le produit est de qualité et conforme.",positif,produit,simple
960,"Votre service est vraiment bien organisé.",positif,general,simple
961,"Je ne m'attendais pas à autant de rigueur.",positif,support,négation_positive
962,"La livraison est soignée et rapide.",positif,livraison,simple
963,"Je suis très satisfait du service dans son ensemble.",positif,general,simple
964,"L'application est bien conçue et utile.",positif,application,simple
965,"Je ne pensais pas trouver un service aussi bien noté.",positif,general,négation_positive
966,"Le produit est conforme à la description et de qualité.",positif,produit,simple
967,"Votre service est au sommet.",positif,general,simple
968,"Je ne m'attendais pas à un tel niveau de satisfaction.",positif,general,négation_positive
969,"La livraison est toujours bien gérée.",positif,livraison,simple
970,"Je suis très satisfait du produit commandé.",positif,produit,simple
971,"L'appli est simple et efficace.",positif,application,simple
972,"Je ne pensais pas que votre service serait aussi bien structuré.",positif,general,négation_positive
973,"Le produit est léger et bien fini.",positif,produit,simple
974,"Votre service est vraiment au niveau.",positif,general,simple
975,"Je ne m'attendais pas à autant de satisfaction.",positif,general,négation_positive
976,"La livraison est rapide et de qualité.",positif,livraison,simple
977,"Je suis très satisfait de votre service client.",positif,support,simple
978,"L'application est vraiment excellente.",positif,application,simple
979,"Je ne pensais pas trouver un tel service.",positif,general,négation_positive
980,"Le produit est bien conçu et de qualité.",positif,produit,simple
981,"Votre service est fiable et efficace.",positif,general,simple
982,"Je ne m'attendais pas à une telle qualité de livraison.",positif,livraison,négation_positive
983,"La livraison est ponctuelle et soignée.",positif,livraison,simple
984,"Je suis très satisfait de la qualité de l'application.",positif,application,simple
985,"L'appli est bien adaptée à tous les utilisateurs.",positif,application,simple
986,"Je ne pensais pas que votre service serait aussi bien.",positif,general,négation_positive
987,"Le produit est de qualité, conforme et fonctionnel.",positif,produit,simple
988,"Votre service est irréprochable dans tous les domaines.",positif,general,simple
989,"Je ne m'attendais pas à autant de compétence.",positif,support,négation_positive
990,"La livraison était parfaite.",positif,livraison,simple
991,"Je suis très satisfait de l'expérience complète.",positif,general,simple
992,"L'application est excellente et bien conçue.",positif,application,simple
993,"Je ne pensais pas trouver un service aussi complet.",positif,general,négation_positive
994,"Le produit est vraiment de qualité.",positif,produit,simple
995,"Votre service est vraiment dans les meilleurs.",positif,general,simple
996,"Je ne m'attendais pas à autant de satisfaction globale.",positif,general,négation_positive
997,"La livraison est fiable, rapide et soignée.",positif,livraison,simple
998,"Je suis très satisfait de votre service dans l'ensemble.",positif,general,simple
999,"L'appli est bien conçue, intuitive et rapide.",positif,application,simple
1000,"Je ne pensais pas qu'un service en ligne pouvait être aussi parfait.",positif,general,négation_positive
