id,avis,label,categorie,difficulte,clean_avis,tokens_count,text_without_stopwords,processed_avis
499,L'appli consomme trop de batterie.,négatif,application,problème,l'appli consomme trop de batterie,5,l'appli consomme trop batterie,l'appli consomme trop batterie
500,"Bon service, je vous fais confiance.",positif,general,simple,bon service je vous fais confiance,6,bon service fais confiance,bon service fais confiance
501,Le produit correspond exactement à la description.,positif,produit,simple,le produit correspond exactement à la description,7,produit correspond exactement description,produit correspond exacte description
502,Je ne pensais pas que la livraison serait aussi rapide.,positif,livraison,négation_positive,je ne pensais pas que la livraison serait aussi rapide,10,ne pensais pas livraison serait rapide,ne pensais pas livraison serait rapide
503,Votre site est régulièrement en maintenance.,négatif,application,problème,votre site est régulièrement en maintenance,6,site régulièrement maintenance,site régulière maintenance
504,Le support a pris en charge ma demande immédiatement.,positif,support,simple,le support a pris en charge ma demande immédiatement,9,support pris charge demande immédiatement,support pris charge demande immédiate
505,Colis reçu en avance sur les prévisions.,positif,livraison,simple,colis reçu en avance sur les prévisions,7,colis reçu avance prévisions,colis recevoir avance prévisions
506,Je n'aurais pas commandé là si j'avais eu plus de temps.,mitigé,general,négation_positive,je n'aurais pas commandé là si j'avais eu plus de temps,11,n'aurais pas commandé là j'avais eu temps,n'aurais pas commander là j'avais eu temps
507,L'article ressemble à de la contrefaçon.,négatif,produit,problème,l'article ressemble à de la contrefaçon,6,l'article ressemble contrefaçon,l'article ressemble contrefaçon
508,Remboursement reçu conforme.,positif,remboursement,simple,remboursement reçu conforme,3,remboursement reçu conforme,rembourse recevoir conforme
509,Votre application mériterait plus de fonctionnalités.,mitigé,application,opinion_mixte,votre application mériterait plus de fonctionnalités,6,application mériterait fonctionnalités,application mériterait fonctionnalitéer
510,"Je suis très satisfait, le produit est excellent.",positif,produit,simple,je suis très satisfait le produit est excellent,8,suis satisfait produit excellent,suis satisfaire produit excellent
511,Le service est long mais finalement efficace.,mitigé,support,opinion_mixte,le service est long mais finalement efficace,7,service long finalement efficace,service long finale efficace
512,J'attends toujours une réponse à ma demande.,négatif,support,problème,j'attends toujours une réponse à ma demande,7,j'attends toujours réponse demande,j'attends toujours réponse demande
513,La mise à jour a amélioré la vitesse de l'application.,positif,application,simple,la mise à jour a amélioré la vitesse de l'application,10,mise jour amélioré vitesse l'application,mise jour améliorer vitesse l'application
514,Je n'aurais pas imaginé une réponse aussi rapide.,positif,support,négation_positive,je n'aurais pas imaginé une réponse aussi rapide,8,n'aurais pas imaginé réponse rapide,n'aurais pas imaginer réponse rapide
515,La livraison est arrivée avec 4 jours de retard.,négatif,livraison,problème,la livraison est arrivée avec 4 jours de retard,8,livraison arrivée jours retard,livraison arriver jours retard
516,L'interface est bien pensée.,positif,application,simple,l'interface est bien pensée,4,l'interface pensée,l'interface penser
517,Votre SAV n'est pas à la hauteur.,négatif,support,problème,votre sav n'est pas à la hauteur,7,sav n'est pas hauteur,sav n'est pas hauteur
518,Je ne pensais pas que ce serait aussi simple.,positif,general,négation_positive,je ne pensais pas que ce serait aussi simple,9,ne pensais pas serait simple,ne pensais pas serait simple
519,"Produit commandé le lundi, reçu le mercredi.",positif,livraison,simple,produit commandé le lundi reçu le mercredi,7,produit commandé lundi reçu mercredi,produit commander lundi recevoir mercredi
520,Pas convaincu par la robustesse du produit.,mitigé,produit,opinion_mixte,pas convaincu par la robustesse du produit,7,pas convaincu robustesse produit,pas convaincu robustesse produit
521,Le service client m'a orienté vers la bonne solution.,positif,support,simple,le service client m'a orienté vers la bonne solution,9,service client m'a orienté bonne solution,service client m'a orienter bonne solution
522,Je n'ai pas reçu l'article offert avec ma commande.,négatif,produit,problème,je n'ai pas reçu l'article offert avec ma commande,9,n'ai pas reçu l'article offert commande,n'ai pas recevoir l'article offert commande
523,L'application est bien optimisée.,positif,application,simple,l'application est bien optimisée,4,l'application optimisée,l'application optimiser
524,J'aurais aimé avoir plus de choix dans les modes de livraison.,mitigé,livraison,opinion_mixte,j'aurais aimé avoir plus de choix dans les modes de livraison,11,j'aurais aimé choix modes livraison,j'aurais aimer choix modes livraison
525,Votre service de suivi en temps réel est vraiment pratique.,positif,livraison,simple,votre service de suivi en temps réel est vraiment pratique,10,service suivi temps réel vraiment pratique,service suivi temps réel vrai pratique
526,Je ne pensais pas avoir à me plaindre aussi souvent.,négatif,general,négation_positive,je ne pensais pas avoir à me plaindre aussi souvent,10,ne pensais pas plaindre souvent,ne pensais pas plaindre souvent
527,Le produit est très bien conçu.,positif,produit,simple,le produit est très bien conçu,6,produit conçu,produit conçu
528,Mon paiement a été doublement prélevé.,négatif,paiement,problème,mon paiement a été doublement prélevé,6,paiement été doublement prélevé,paie éter double prélever
529,Je suis ravi de ma commande.,positif,general,simple,je suis ravi de ma commande,6,suis ravi commande,suis ravi commande
530,Votre support connaît ses sujets.,positif,support,simple,votre support connaît ses sujets,5,support connaît sujets,support connaît sujets
531,La qualité visuelle du produit est très bonne.,positif,produit,simple,la qualité visuelle du produit est très bonne,8,qualité visuelle produit bonne,qualiter visuelle produit bonne
532,Je ne m'attendais pas à un service de cette qualité.,positif,support,négation_positive,je ne m'attendais pas à un service de cette qualité,10,ne m'attendais pas service qualité,ne m'attendais pas service qualiter
533,La livraison a été effectuée comme promis.,positif,livraison,simple,la livraison a été effectuée comme promis,7,livraison été effectuée promis,livraison éter effectuer promis
534,Votre application consomme trop de données mobiles.,négatif,application,problème,votre application consomme trop de données mobiles,7,application consomme trop données mobiles,application consomme trop donnéer mobiles
535,Je n'ai jamais eu de problème avec votre service.,positif,general,négation_positive,je n'ai jamais eu de problème avec votre service,9,n'ai jamais eu problème service,n'ai jamais eu problème service
536,Le produit est bruyant à l'utilisation.,négatif,produit,problème,le produit est bruyant à l'utilisation,6,produit bruyant l'utilisation,produit bruyant l'utilisation
537,Je suis très content de mon achat.,positif,produit,simple,je suis très content de mon achat,7,suis content achat,suis content achat
538,Votre service est irréprochable.,positif,general,simple,votre service est irréprochable,4,service irréprochable,service irréprochable
539,Je n'aurais pas pensé avoir un tel niveau de service.,positif,support,négation_positive,je n'aurais pas pensé avoir un tel niveau de service,10,n'aurais pas pensé tel niveau service,n'aurais pas penser tel niveau service
540,La commande a été bien préparée.,positif,general,simple,la commande a été bien préparée,6,commande été préparée,commande éter préparer
541,Mon remboursement est parti dans les délais prévus.,positif,remboursement,simple,mon remboursement est parti dans les délais prévus,8,remboursement parti délais prévus,rembourse parti délais prévus
542,Je ne pensais pas que ce produit serait aussi pratique.,positif,produit,négation_positive,je ne pensais pas que ce produit serait aussi pratique,10,ne pensais pas produit serait pratique,ne pensais pas produit serait pratique
543,L'application m'a rendu la vie plus simple.,positif,application,simple,l'application m'a rendu la vie plus simple,7,l'application m'a rendu vie simple,l'application m'a rendu vie simple
544,Votre service de livraison a perdu mon colis.,négatif,livraison,problème,votre service de livraison a perdu mon colis,8,service livraison perdu colis,service livraison perdu colis
545,Je n'ai pas eu à attendre plus de 5 minutes au téléphone.,positif,support,négation_positive,je n'ai pas eu à attendre plus de 5 minutes au téléphone,11,n'ai pas eu attendre minutes téléphone,n'ai pas eu attendre minutes téléphone
546,Le produit est bien conçu pour une utilisation quotidienne.,positif,produit,simple,le produit est bien conçu pour une utilisation quotidienne,9,produit conçu utilisation quotidienne,produit conçu utilisation quotidienne
547,Votre service après-vente a tout résolu.,positif,support,simple,votre service après vente a tout résolu,7,service après vente résolu,service après vente résolu
548,Je ne m'attendais pas à un emballage aussi soigné.,positif,produit,négation_positive,je ne m'attendais pas à un emballage aussi soigné,9,ne m'attendais pas emballage soigné,ne m'attendais pas emballage soigner
549,La mise à jour a corrigé les bugs signalés.,positif,application,simple,la mise à jour a corrigé les bugs signalés,9,mise jour corrigé bugs signalés,mise jour corriger bugs signaléer
550,Mon compte a été bloqué sans raison.,négatif,administratif,problème,mon compte a été bloqué sans raison,7,compte été bloqué raison,compte éter bloquer raison
551,L'article correspond à la description sur le site.,positif,produit,simple,l'article correspond à la description sur le site,8,l'article correspond description site,l'article correspond description site
552,Je ne pensais pas être aussi bien traité.,positif,support,négation_positive,je ne pensais pas être aussi bien traité,8,ne pensais pas traité,ne pensais pas traiter
553,"Livraison dans les temps, colis intact.",positif,livraison,simple,livraison dans les temps colis intact,6,livraison temps colis intact,livraison temps colis intact
554,Le service m'a demandé les mêmes informations plusieurs fois.,négatif,support,problème,le service m'a demandé les mêmes informations plusieurs fois,9,service m'a demandé mêmes informations plusieurs fois,service m'a demander mêmes informations plusieurs fois
555,Je suis satisfait de la qualité du produit.,positif,produit,simple,je suis satisfait de la qualité du produit,8,suis satisfait qualité produit,suis satisfaire qualiter produit
556,"Application bien notée, et ça se confirme à l'usage.",positif,application,simple,application bien notée et ça se confirme à l'usage,9,application notée ça confirme l'usage,application noter ça confirme l'usage
557,Je n'ai eu aucun souci lors de la commande.,positif,general,négation_positive,je n'ai eu aucun souci lors de la commande,9,n'ai eu aucun souci commande,n'ai eu aucun souci commande
558,La livraison a été faite avec soin.,positif,livraison,simple,la livraison a été faite avec soin,7,livraison été faite soin,livraison éter faite soin
559,Votre service est parfois décevant.,mitigé,general,opinion_mixte,votre service est parfois décevant,5,service parfois décevant,service parfois décevant
560,Je ne pensais pas que l'application serait aussi utile.,positif,application,négation_positive,je ne pensais pas que l'application serait aussi utile,9,ne pensais pas l'application serait utile,ne pensais pas l'application serait utile
561,Le produit ne chauffe pas trop.,positif,produit,simple,le produit ne chauffe pas trop,6,produit ne chauffe pas trop,produit ne chauffe pas trop
562,La qualité du service est inégale selon les conseillers.,mitigé,support,opinion_mixte,la qualité du service est inégale selon les conseillers,9,qualité service inégale selon conseillers,qualiter service inégale selon conseillers
563,Je suis impressionné par la qualité du produit.,positif,produit,simple,je suis impressionné par la qualité du produit,8,suis impressionné qualité produit,suis impressionner qualiter produit
564,L'application est utile mais elle a encore des défauts.,mitigé,application,opinion_mixte,l'application est utile mais elle a encore des défauts,9,l'application utile encore défauts,l'application utile encore défauts
565,Votre site web charge rapidement.,positif,application,simple,votre site web charge rapidement,5,site web charge rapidement,site web charge rapide
566,Je ne m'attendais pas à une telle rigueur.,positif,support,négation_positive,je ne m'attendais pas à une telle rigueur,8,ne m'attendais pas telle rigueur,ne m'attendais pas telle rigueur
567,Mon article est arrivé en parfait état.,positif,produit,simple,mon article est arrivé en parfait état,7,article arrivé parfait état,article arriver parfait état
568,Le service client n'est disponible que le matin.,mitigé,support,opinion_mixte,le service client n'est disponible que le matin,8,service client n'est disponible matin,service client n'est disponible matin
569,Je ne pensais pas que le produit serait aussi polyvalent.,positif,produit,négation_positive,je ne pensais pas que le produit serait aussi polyvalent,10,ne pensais pas produit serait polyvalent,ne pensais pas produit serait polyvalent
570,L'application propose maintenant des fonctionnalités avancées.,positif,application,simple,l'application propose maintenant des fonctionnalités avancées,6,l'application propose maintenant fonctionnalités avancées,l'application propose maintenant fonctionnalitéer avancéer
571,Je suis déçu par la qualité globale.,négatif,general,simple,je suis déçu par la qualité globale,7,suis déçu qualité globale,suis décevoir qualiter globale
572,Votre équipe est toujours disponible et aimable.,positif,support,simple,votre équipe est toujours disponible et aimable,7,équipe toujours disponible aimable,équipe toujours disponible aimable
573,Je n'avais aucune attente et j'ai été positivement surpris.,positif,produit,négation_positive,je n'avais aucune attente et j'ai été positivement surpris,9,n'avais aucune attente j'ai été positivement surpris,n'avais aucune attente j'ai éter positive surpris
574,La livraison express coûte trop cher.,mitigé,livraison,opinion_mixte,la livraison express coûte trop cher,6,livraison express coûte trop cher,livraison express coûte trop cher
575,Votre service mérite vraiment 5 étoiles.,positif,general,simple,votre service mérite vraiment 5 étoiles,5,service mérite vraiment étoiles,service mérite vrai étoiles
576,J'ai reçu un article soldé à prix plein.,négatif,paiement,problème,j'ai reçu un article soldé à prix plein,8,j'ai reçu article soldé prix plein,j'ai recevoir article solder prix plein
577,Je ne pensais pas que votre service était aussi fiable.,positif,general,négation_positive,je ne pensais pas que votre service était aussi fiable,10,ne pensais pas service fiable,ne pensais pas service fiable
578,Le service de retour fonctionne bien.,positif,remboursement,simple,le service de retour fonctionne bien,6,service retour fonctionne,service retour fonctionne
579,Votre chat en ligne me renvoie toujours vers les FAQ.,négatif,support,problème,votre chat en ligne me renvoie toujours vers les faq,10,chat ligne renvoie toujours faq,chat ligne renvoie toujours faq
580,Je suis très satisfait de mon expérience globale.,positif,general,simple,je suis très satisfait de mon expérience globale,8,suis satisfait expérience globale,suis satisfaire expérience globale
581,La qualité du produit est supérieure à ce que j'espérais.,positif,produit,simple,la qualité du produit est supérieure à ce que j'espérais,10,qualité produit supérieure j'espérais,qualiter produit supérieure j'espérais
582,Je n'aurais pas dû hésiter aussi longtemps.,positif,general,négation_positive,je n'aurais pas dû hésiter aussi longtemps,7,n'aurais pas dû hésiter longtemps,n'aurais pas dû hésiter longtemps
583,Votre application est devenue indispensable pour moi.,positif,application,simple,votre application est devenue indispensable pour moi,7,application devenue indispensable moi,application devenue indispensable moi
584,L'email de confirmation est arrivé en spam.,mitigé,administratif,opinion_mixte,l'email de confirmation est arrivé en spam,7,l'email confirmation arrivé spam,l'email confirmation arriver spam
585,Je ne pensais pas que la résolution serait si rapide.,positif,support,négation_positive,je ne pensais pas que la résolution serait si rapide,10,ne pensais pas résolution serait rapide,ne pensais pas résolution serait rapide
586,Le produit est arrivé bien emballé.,positif,produit,simple,le produit est arrivé bien emballé,6,produit arrivé emballé,produit arriver emballer
587,Votre service dépasse mes attentes.,positif,general,simple,votre service dépasse mes attentes,5,service dépasse attentes,service dépasse attentes
588,J'ai eu du mal à trouver l'assistance en ligne.,mitigé,support,opinion_mixte,j'ai eu du mal à trouver l'assistance en ligne,9,j'ai eu mal trouver l'assistance ligne,j'ai eu mal trouver l'assistance ligne
589,Je ne m'attendais pas à ce que le retour soit aussi simple.,positif,remboursement,négation_positive,je ne m'attendais pas à ce que le retour soit aussi simple,12,ne m'attendais pas retour soit simple,ne m'attendais pas retour soit simple
590,Le service est fluide et sans complications.,positif,general,simple,le service est fluide et sans complications,7,service fluide complications,service fluide complications
591,Votre appli ne synchronise pas les données correctement.,négatif,application,problème,votre appli ne synchronise pas les données correctement,8,appli ne synchronise pas données correctement,appli ne synchronise pas donnéer correcte
592,Je suis très satisfait du service rendu.,positif,support,simple,je suis très satisfait du service rendu,7,suis satisfait service rendu,suis satisfaire service rendu
593,La livraison a eu lieu sans encombre.,positif,livraison,simple,la livraison a eu lieu sans encombre,7,livraison eu lieu encombre,livraison eu lieu encombre
594,Le produit est solide et de belle facture.,positif,produit,simple,le produit est solide et de belle facture,8,produit solide belle facture,produit solide belle facture
595,Je ne pensais pas que la qualité serait aussi constante.,positif,produit,négation_positive,je ne pensais pas que la qualité serait aussi constante,10,ne pensais pas qualité serait constante,ne pensais pas qualiter serait constante
596,Mon paiement a pris du temps à être validé.,mitigé,paiement,opinion_mixte,mon paiement a pris du temps à être validé,9,paiement pris temps validé,paie pris temps valider
597,Je suis content de mon achat.,positif,produit,simple,je suis content de mon achat,6,suis content achat,suis content achat
598,Votre équipe est toujours réactive.,positif,support,simple,votre équipe est toujours réactive,5,équipe toujours réactive,équipe toujours réactive
599,Je n'aurais pas imaginé un service aussi personnel.,positif,support,négation_positive,je n'aurais pas imaginé un service aussi personnel,8,n'aurais pas imaginé service personnel,n'aurais pas imaginer service personnel
600,Application simple et efficace.,positif,application,simple,application simple et efficace,4,application simple efficace,application simple efficace
601,Votre service m'a aidé à résoudre mon problème rapidement.,positif,support,simple,votre service m'a aidé à résoudre mon problème rapidement,9,service m'a aidé résoudre problème rapidement,service m'a aider résoudre problème rapide
602,Je n'ai pas eu à relancer mon dossier.,positif,support,négation_positive,je n'ai pas eu à relancer mon dossier,8,n'ai pas eu relancer dossier,n'ai pas eu relancer dossier
603,L'article a été livré à l'étage sans supplément.,positif,livraison,simple,l'article a été livré à l'étage sans supplément,8,l'article été livré l'étage supplément,l'article éter livrer l'étage supplé
604,Le service client ne peut pas accéder à mon compte.,négatif,support,problème,le service client ne peut pas accéder à mon compte,10,service client ne peut pas accéder compte,service client ne peut pas accéder compte
605,Je suis très content de ma commande.,positif,general,simple,je suis très content de ma commande,7,suis content commande,suis content commande
606,Votre FAQ est claire et bien organisée.,positif,support,simple,votre faq est claire et bien organisée,7,faq claire organisée,faq claire organiser
607,Je ne m'attendais pas à ce niveau de professionnalisme.,positif,support,négation_positive,je ne m'attendais pas à ce niveau de professionnalisme,9,ne m'attendais pas niveau professionnalisme,ne m'attendais pas niveau professionnalisme
608,La commande a bien été traitée.,positif,general,simple,la commande a bien été traitée,6,commande été traitée,commande éter traiter
609,Votre service de chat est plus rapide que le téléphone.,positif,support,simple,votre service de chat est plus rapide que le téléphone,10,service chat rapide téléphone,service chat rapide téléphone
610,Je suis bluffé par la réactivité de l'équipe.,positif,support,simple,je suis bluffé par la réactivité de l'équipe,8,suis bluffé réactivité l'équipe,suis bluffer réactiviter l'équipe
611,Le produit est bien fini et agréable en main.,positif,produit,simple,le produit est bien fini et agréable en main,9,produit fini agréable main,produit fini agréable main
612,Je ne pensais pas être remboursé aussi vite.,positif,remboursement,négation_positive,je ne pensais pas être remboursé aussi vite,8,ne pensais pas remboursé vite,ne pensais pas rembourser vite
613,Le service est régulièrement indisponible le week-end.,négatif,support,problème,le service est régulièrement indisponible le week end,8,service régulièrement indisponible week end,service régulière indisponible week end
614,Je suis satisfait de la réactivité du service.,positif,support,simple,je suis satisfait de la réactivité du service,8,suis satisfait réactivité service,suis satisfaire réactiviter service
615,Votre application est l'une des meilleures du marché.,positif,application,simple,votre application est l'une des meilleures du marché,8,application l'une meilleures marché,application l'une meilleures marcher
616,Je n'aurais pas pensé que le produit serait aussi léger.,positif,produit,négation_positive,je n'aurais pas pensé que le produit serait aussi léger,10,n'aurais pas pensé produit serait léger,n'aurais pas penser produit serait léger
617,La commande a été livrée avant l'heure prévue.,positif,livraison,simple,la commande a été livrée avant l'heure prévue,8,commande été livrée avant l'heure prévue,commande éter livrer avant l'heure prévue
618,Votre service traite les réclamations sérieusement.,positif,support,simple,votre service traite les réclamations sérieusement,6,service traite réclamations sérieusement,service traite réclamations sérieuse
619,Je suis impressionné par la fluidité de l'application.,positif,application,simple,je suis impressionné par la fluidité de l'application,8,suis impressionné fluidité l'application,suis impressionner fluiditer l'application
620,La commande est arrivée dans les délais.,positif,livraison,simple,la commande est arrivée dans les délais,7,commande arrivée délais,commande arriver délais
621,Le suivi de commande est très précis.,positif,livraison,simple,le suivi de commande est très précis,7,suivi commande précis,suivi commande précis
622,Je ne pensais pas qu'un retour serait aussi sans contrainte.,positif,remboursement,négation_positive,je ne pensais pas qu'un retour serait aussi sans contrainte,10,ne pensais pas qu'un retour serait contrainte,ne pensais pas qu'un retour serait contrainte
623,Votre service dépasse les attentes.,positif,general,simple,votre service dépasse les attentes,5,service dépasse attentes,service dépasse attentes
624,J'ai apprécié le suivi proactif de ma commande.,positif,support,simple,j'ai apprécié le suivi proactif de ma commande,8,j'ai apprécié suivi proactif commande,j'ai apprécier suivi proactif commande
625,Je ne m'attendais pas à un tel soin dans l'emballage.,positif,produit,négation_positive,je ne m'attendais pas à un tel soin dans l'emballage,10,ne m'attendais pas tel soin l'emballage,ne m'attendais pas tel soin l'emballage
626,Le produit est arrivé en avance.,positif,livraison,simple,le produit est arrivé en avance,6,produit arrivé avance,produit arriver avance
627,Votre support m'a guidé pas à pas.,positif,support,simple,votre support m'a guidé pas à pas,7,support m'a guidé pas pas,support m'a guider pas pas
628,Je suis agréablement surpris.,positif,general,simple,je suis agréablement surpris,4,suis agréablement surpris,suis agréable surpris
629,"Application légère, rapide, sans bug.",positif,application,simple,application légère rapide sans bug,5,application légère rapide bug,application légère rapide bug
630,Le remboursement a bien été effectué.,positif,remboursement,simple,le remboursement a bien été effectué,6,remboursement été effectué,rembourse éter effectuer
631,Je ne pensais pas que les délais annoncés seraient respectés.,positif,livraison,négation_positive,je ne pensais pas que les délais annoncés seraient respectés,10,ne pensais pas délais annoncés seraient respectés,ne pensais pas délais annoncéer seraient respectéer
632,Votre service est exemplaire.,positif,general,simple,votre service est exemplaire,4,service exemplaire,service exemplaire
633,J'ai reçu un double de ma commande par erreur.,mitigé,produit,problème,j'ai reçu un double de ma commande par erreur,9,j'ai reçu double commande erreur,j'ai recevoir double commande erreur
634,Je suis très satisfait du service livraison.,positif,livraison,simple,je suis très satisfait du service livraison,7,suis satisfait service livraison,suis satisfaire service livraison
635,L'agent a résolu mon problème en moins de 5 minutes.,positif,support,simple,l'agent a résolu mon problème en moins de 5 minutes,9,l'agent résolu problème minutes,l'agent résolu problème minutes
636,Je ne pensais pas avoir une réponse aussi précise.,positif,support,négation_positive,je ne pensais pas avoir une réponse aussi précise,9,ne pensais pas réponse précise,ne pensais pas réponse précise
637,La qualité de l'emballage est irréprochable.,positif,produit,simple,la qualité de l'emballage est irréprochable,6,qualité l'emballage irréprochable,qualiter l'emballage irréprochable
638,Votre service client est toujours disponible.,positif,support,simple,votre service client est toujours disponible,6,service client toujours disponible,service client toujours disponible
639,Je n'aurais pas imaginé commander aussi souvent.,positif,general,négation_positive,je n'aurais pas imaginé commander aussi souvent,7,n'aurais pas imaginé commander souvent,n'aurais pas imaginer commander souvent
640,"La livraison était en avance, super.",positif,livraison,simple,la livraison était en avance super,6,livraison avance super,livraison avance super
641,Le produit est conforme à la description et aux photos.,positif,produit,simple,le produit est conforme à la description et aux photos,10,produit conforme description photos,produit conforme description photos
642,Je suis satisfait mais j'attendais un peu mieux.,mitigé,general,opinion_mixte,je suis satisfait mais j'attendais un peu mieux,8,suis satisfait j'attendais peu mieux,suis satisfaire j'attendais peu mieux
643,Votre équipe m'a impressionné.,positif,support,simple,votre équipe m'a impressionné,4,équipe m'a impressionné,équipe m'a impressionner
644,Je ne pensais pas trouver ce produit aussi facilement.,positif,general,négation_positive,je ne pensais pas trouver ce produit aussi facilement,9,ne pensais pas trouver produit facilement,ne pensais pas trouver produit facile
645,Application fonctionnelle et bien designée.,positif,application,simple,application fonctionnelle et bien designée,5,application fonctionnelle designée,application fonctionnelle designer
646,"Le service est fluide, sans accroc.",positif,general,simple,le service est fluide sans accroc,6,service fluide accroc,service fluide accroc
647,Je n'ai eu aucun problème avec ma commande.,positif,general,négation_positive,je n'ai eu aucun problème avec ma commande,8,n'ai eu aucun problème commande,n'ai eu aucun problème commande
648,La commande a été bien gérée de bout en bout.,positif,general,simple,la commande a été bien gérée de bout en bout,10,commande été gérée bout bout,commande éter gérer bout bout
649,Le produit est bien sécurisé dans son emballage.,positif,produit,simple,le produit est bien sécurisé dans son emballage,8,produit sécurisé emballage,produit sécuriser emballage
650,Je suis très satisfait de la qualité du produit.,positif,produit,simple,je suis très satisfait de la qualité du produit,9,suis satisfait qualité produit,suis satisfaire qualiter produit
651,Je ne pensais pas être aussi bien accompagné.,positif,support,négation_positive,je ne pensais pas être aussi bien accompagné,8,ne pensais pas accompagné,ne pensais pas accompagner
652,La livraison est rapide et fiable.,positif,livraison,simple,la livraison est rapide et fiable,6,livraison rapide fiable,livraison rapide fiable
653,Votre service est au top !,positif,general,simple,votre service est au top,5,service top,service top
654,Je suis impressionné par le professionnalisme.,positif,support,simple,je suis impressionné par le professionnalisme,6,suis impressionné professionnalisme,suis impressionner professionnalisme
655,L'application est vraiment bien faite.,positif,application,simple,l'application est vraiment bien faite,5,l'application vraiment faite,l'application vrai faite
656,Je ne m'attendais pas à une telle qualité.,positif,produit,négation_positive,je ne m'attendais pas à une telle qualité,8,ne m'attendais pas telle qualité,ne m'attendais pas telle qualiter
657,La commande est traitée rapidement.,positif,general,simple,la commande est traitée rapidement,5,commande traitée rapidement,commande traiter rapide
658,Votre service est vraiment différent des autres.,positif,general,simple,votre service est vraiment différent des autres,7,service vraiment différent autres,service vrai différent autres
659,Je ne pensais pas être aussi content.,positif,general,négation_positive,je ne pensais pas être aussi content,7,ne pensais pas content,ne pensais pas content
660,Le service est efficace et sans perte de temps.,positif,general,simple,le service est efficace et sans perte de temps,9,service efficace perte temps,service efficace perte temps
661,Je ne peux pas imaginer faire autrement.,positif,general,négation_positive,je ne peux pas imaginer faire autrement,7,ne peux pas imaginer faire autrement,ne peux pas imaginer faire autre
662,La qualité est vraiment bonne.,positif,produit,simple,la qualité est vraiment bonne,5,qualité vraiment bonne,qualiter vrai bonne
663,Votre service est fiable et ponctuel.,positif,general,simple,votre service est fiable et ponctuel,6,service fiable ponctuel,service fiable ponctuel
664,Je suis très satisfait de l'expérience.,positif,general,simple,je suis très satisfait de l'expérience,6,suis satisfait l'expérience,suis satisfaire l'expérience
665,L'appli est bien adaptée à mes besoins.,positif,application,simple,l'appli est bien adaptée à mes besoins,7,l'appli adaptée besoins,l'appli adapter besoins
666,Je ne pensais pas que ce serait aussi satisfaisant.,positif,general,négation_positive,je ne pensais pas que ce serait aussi satisfaisant,9,ne pensais pas serait satisfaisant,ne pensais pas serait satisfaisant
667,La commande est arrivée sans problème.,positif,livraison,simple,la commande est arrivée sans problème,6,commande arrivée problème,commande arriver problème
668,Je suis content de la qualité du service.,positif,support,simple,je suis content de la qualité du service,8,suis content qualité service,suis content qualiter service
669,L'expérience est fluide et agréable.,positif,general,simple,l'expérience est fluide et agréable,5,l'expérience fluide agréable,l'expérience fluide agréable
670,Je ne pensais pas trouver une telle qualité.,positif,produit,négation_positive,je ne pensais pas trouver une telle qualité,8,ne pensais pas trouver telle qualité,ne pensais pas trouver telle qualiter
671,La livraison a été parfaitement gérée.,positif,livraison,simple,la livraison a été parfaitement gérée,6,livraison été parfaitement gérée,livraison éter parfaite gérer
672,Je suis vraiment satisfait de mon expérience.,positif,general,simple,je suis vraiment satisfait de mon expérience,7,suis vraiment satisfait expérience,suis vrai satisfaire expérience
673,L'application répond parfaitement à mes attentes.,positif,application,simple,l'application répond parfaitement à mes attentes,6,l'application répond parfaitement attentes,l'application répond parfaite attentes
674,Je ne m'attendais pas à une telle réactivité.,positif,support,négation_positive,je ne m'attendais pas à une telle réactivité,8,ne m'attendais pas telle réactivité,ne m'attendais pas telle réactiviter
675,Le produit est bien adapté à l'usage quotidien.,positif,produit,simple,le produit est bien adapté à l'usage quotidien,8,produit adapté l'usage quotidien,produit adapter l'usage quotidien
676,Votre service est vraiment à la hauteur.,positif,general,simple,votre service est vraiment à la hauteur,7,service vraiment hauteur,service vrai hauteur
677,Je suis très content de l'ensemble.,positif,general,simple,je suis très content de l'ensemble,6,suis content l'ensemble,suis content l'ensemble
678,La qualité de service est constante.,positif,general,simple,la qualité de service est constante,6,qualité service constante,qualiter service constante
679,Je ne pensais pas être aussi bien servi.,positif,support,négation_positive,je ne pensais pas être aussi bien servi,8,ne pensais pas servi,ne pensais pas servi
680,L'application est pratique et bien conçue.,positif,application,simple,l'application est pratique et bien conçue,6,l'application pratique conçue,l'application pratique conçue
681,Je suis satisfait de la livraison.,positif,livraison,simple,je suis satisfait de la livraison,6,suis satisfait livraison,suis satisfaire livraison
682,Votre service est toujours à la hauteur.,positif,general,simple,votre service est toujours à la hauteur,7,service toujours hauteur,service toujours hauteur
683,Je ne m'attendais pas à une résolution aussi rapide.,positif,support,négation_positive,je ne m'attendais pas à une résolution aussi rapide,9,ne m'attendais pas résolution rapide,ne m'attendais pas résolution rapide
684,La commande est arrivée dans les délais prévus.,positif,livraison,simple,la commande est arrivée dans les délais prévus,8,commande arrivée délais prévus,commande arriver délais prévus
685,Je suis impressionné par le service rendu.,positif,support,simple,je suis impressionné par le service rendu,7,suis impressionné service rendu,suis impressionner service rendu
686,L'appli est simple et intuitive.,positif,application,simple,l'appli est simple et intuitive,5,l'appli simple intuitive,l'appli simple intuitive
